work_order_id,product_id,product_name,quantity,priority,due_time,status
FLEX-WO-0040,FLEX-PRODUCT-025,Flexible packaging type 25,645298,4,2022-11-04T00:00:00+00:00,planned
FLEX-WO-0041,FLEX-PRODUCT-015,Flexible packaging type 15,773169,4,2022-11-04T00:00:00+00:00,planned
FLEX-WO-0042,FLEX-PRODUCT-015,Flexible packaging type 15,42339,5,2022-11-04T00:00:00+00:00,planned
FLEX-WO-0043,FLEX-PRODUCT-022,Flexible packaging type 22,316901,4,2022-11-05T00:00:00+00:00,planned
FLEX-WO-0044,FLEX-PRODUCT-025,Flexible packaging type 25,853170,4,2022-11-06T00:00:00+00:00,planned
FLEX-WO-0045,FLEX-PRODUCT-011,Flexible packaging type 11,78609,3,2022-11-07T00:00:00+00:00,planned
FLEX-WO-0046,FLEX-PRODUCT-009,Flexible packaging type 9,528374,3,2022-11-08T00:00:00+00:00,planned
FLEX-WO-0047,FLEX-PRODUCT-022,Flexible packaging type 22,100892,5,2022-11-08T00:00:00+00:00,planned
FLEX-WO-0048,FLEX-PRODUCT-026,Flexible packaging type 26,743040,1,2022-11-09T00:00:00+00:00,planned
FLEX-WO-0049,FLEX-PRODUCT-015,Flexible packaging type 15,940256,4,2022-11-09T00:00:00+00:00,planned
FLEX-WO-0050,FLEX-PRODUCT-018,Flexible packaging type 18,96065,1,2022-11-10T00:00:00+00:00,planned
FLEX-WO-0051,FLEX-PRODUCT-025,Flexible packaging type 25,960747,2,2022-11-10T00:00:00+00:00,planned
FLEX-WO-0052,FLEX-PRODUCT-015,Flexible packaging type 15,923471,5,2022-11-10T00:00:00+00:00,planned
FLEX-WO-0053,FLEX-PRODUCT-023,Flexible packaging type 23,145948,5,2022-11-11T00:00:00+00:00,planned
FLEX-WO-0054,FLEX-PRODUCT-015,Flexible packaging type 15,264009,5,2022-11-12T00:00:00+00:00,planned
FLEX-WO-0055,FLEX-PRODUCT-026,Flexible packaging type 26,195766,3,2022-11-13T00:00:00+00:00,planned
FLEX-WO-0056,FLEX-PRODUCT-022,Flexible packaging type 22,14415,5,2022-11-13T00:00:00+00:00,planned
FLEX-WO-0057,FLEX-PRODUCT-022,Flexible packaging type 22,162223,2,2022-11-14T00:00:00+00:00,planned
FLEX-WO-0058,FLEX-PRODUCT-018,Flexible packaging type 18,197343,2,2022-11-14T00:00:00+00:00,planned
FLEX-WO-0059,FLEX-PRODUCT-012,Flexible packaging type 12,582977,5,2022-11-14T00:00:00+00:00,planned
