operation_id,work_order_id,sequence,required_capability,processing_time_min,eligible_machine_ids,predecessors,mapping_status
FLEX-WO-0008-OP-02,FLEX-WO-0008,2,P2,321,M4|M5|M6,FLEX-WO-0008-OP-01,mapped
FLEX-WO-0008-OP-03,FLEX-WO-0008,3,P3,321,M7|M8,FLEX-WO-0008-OP-02,mapped
FLEX-WO-0008-OP-04,FLEX-WO-0008,4,P4,321,M9|M10|M11|M12|M13,FLEX-WO-0008-OP-03,mapped
FLEX-WO-0009-OP-01,FLEX-WO-0009,1,P1,780,M1|M2|M3,,mapped
FLEX-WO-0009-OP-02,FLEX-WO-0009,2,P2,780,M4|M5|M6,FLEX-WO-0009-OP-01,mapped
FLEX-WO-0009-OP-03,FLEX-WO-0009,3,P4,780,M9|M10|M11|M12|M13,FLEX-WO-0009-OP-02,mapped
FLEX-WO-0010-OP-01,FLEX-WO-0010,1,P1,1274,M1|M2|M3,,mapped
FLEX-WO-0010-OP-02,FLEX-WO-0010,2,P2,1274,M4|M5|M6,FLEX-WO-0010-OP-01,mapped
FLEX-WO-0010-OP-03,FLEX-WO-0010,3,P3,1274,M7|M8,FLEX-WO-0010-OP-02,mapped
FLEX-WO-0010-OP-04,FLEX-WO-0010,4,P5,1274,M14|M15,FLEX-WO-0010-OP-03,mapped
FLEX-WO-0011-OP-01,FLEX-WO-0011,1,P1,1538,M1|M2|M3,,mapped
FLEX-WO-0011-OP-02,FLEX-WO-0011,2,P2,1538,M4|M5|M6,FLEX-WO-0011-OP-01,mapped
FLEX-WO-0011-OP-03,FLEX-WO-0011,3,P3,1538,M7|M8,FLEX-WO-0011-OP-02,mapped
FLEX-WO-0011-OP-04,FLEX-WO-0011,4,P5,1538,M14|M15,FLEX-WO-0011-OP-03,mapped
FLEX-WO-0012-OP-01,FLEX-WO-0012,1,P1,3640,M1|M2|M3,,mapped
FLEX-WO-0012-OP-02,FLEX-WO-0012,2,P2,3640,M4|M5|M6,FLEX-WO-0012-OP-01,mapped
FLEX-WO-0012-OP-03,FLEX-WO-0012,3,P3,3640,M7|M8,FLEX-WO-0012-OP-02,mapped
FLEX-WO-0012-OP-04,FLEX-WO-0012,4,P4,3640,M9|M10|M11|M12|M13,FLEX-WO-0012-OP-03,mapped
FLEX-WO-0013-OP-01,FLEX-WO-0013,1,P1,1138,M1|M2|M3,,mapped
FLEX-WO-0013-OP-02,FLEX-WO-0013,2,P2,1138,M4|M5|M6,FLEX-WO-0013-OP-01,mapped
FLEX-WO-0013-OP-03,FLEX-WO-0013,3,P2b,1138,M4|M5|M6,FLEX-WO-0013-OP-02,mapped
FLEX-WO-0013-OP-04,FLEX-WO-0013,4,P5,1138,M14|M15,FLEX-WO-0013-OP-03,mapped
FLEX-WO-0014-OP-01,FLEX-WO-0014,1,P1,3061,M1|M2|M3,,mapped
FLEX-WO-0014-OP-02,FLEX-WO-0014,2,P2,3061,M4|M5|M6,FLEX-WO-0014-OP-01,mapped
FLEX-WO-0014-OP-03,FLEX-WO-0014,3,P3,3061,M7|M8,FLEX-WO-0014-OP-02,mapped
FLEX-WO-0014-OP-04,FLEX-WO-0014,4,P4,3061,M9|M10|M11|M12|M13,FLEX-WO-0014-OP-03,mapped
FLEX-WO-0015-OP-01,FLEX-WO-0015,1,P1,429,M1|M2|M3,,mapped
FLEX-WO-0015-OP-02,FLEX-WO-0015,2,P2,429,M4|M5|M6,FLEX-WO-0015-OP-01,mapped
FLEX-WO-0015-OP-03,FLEX-WO-0015,3,P2b,429,M4|M5|M6,FLEX-WO-0015-OP-02,mapped
FLEX-WO-0015-OP-04,FLEX-WO-0015,4,P5,429,M14|M15,FLEX-WO-0015-OP-03,mapped
FLEX-WO-0016-OP-01,FLEX-WO-0016,1,P1,1309,M1|M2|M3,,mapped
FLEX-WO-0016-OP-02,FLEX-WO-0016,2,P2,1309,M4|M5|M6,FLEX-WO-0016-OP-01,mapped
FLEX-WO-0016-OP-03,FLEX-WO-0016,3,P2b,1309,M4|M5|M6,FLEX-WO-0016-OP-02,mapped
FLEX-WO-0016-OP-04,FLEX-WO-0016,4,P4,1309,M9|M10|M11|M12|M13,FLEX-WO-0016-OP-03,mapped
FLEX-WO-0017-OP-01,FLEX-WO-0017,1,P1,416,M1|M2|M3,,mapped
FLEX-WO-0017-OP-02,FLEX-WO-0017,2,P2,416,M4|M5|M6,FLEX-WO-0017-OP-01,mapped
FLEX-WO-0017-OP-03,FLEX-WO-0017,3,P3,416,M7|M8,FLEX-WO-0017-OP-02,mapped
FLEX-WO-0017-OP-04,FLEX-WO-0017,4,P5,416,M14|M15,FLEX-WO-0017-OP-03,mapped
FLEX-WO-0018-OP-01,FLEX-WO-0018,1,P1,2558,M1|M2|M3,,mapped
FLEX-WO-0018-OP-02,FLEX-WO-0018,2,P2,2558,M4|M5|M6,FLEX-WO-0018-OP-01,mapped
FLEX-WO-0018-OP-03,FLEX-WO-0018,3,P3,2558,M7|M8,FLEX-WO-0018-OP-02,mapped
FLEX-WO-0018-OP-04,FLEX-WO-0018,4,P4,2558,M9|M10|M11|M12|M13,FLEX-WO-0018-OP-03,mapped
FLEX-WO-0018-OP-05,FLEX-WO-0018,5,P5,2558,M14|M15,FLEX-WO-0018-OP-04,mapped
FLEX-WO-0019-OP-01,FLEX-WO-0019,1,P1,658,M1|M2|M3,,mapped
FLEX-WO-0019-OP-02,FLEX-WO-0019,2,P2,658,M4|M5|M6,FLEX-WO-0019-OP-01,mapped
FLEX-WO-0019-OP-03,FLEX-WO-0019,3,P3,658,M7|M8,FLEX-WO-0019-OP-02,mapped
FLEX-WO-0019-OP-04,FLEX-WO-0019,4,P4,658,M9|M10|M11|M12|M13,FLEX-WO-0019-OP-03,mapped
FLEX-WO-0020-OP-01,FLEX-WO-0020,1,P1,3102,M1|M2|M3,,mapped
FLEX-WO-0020-OP-02,FLEX-WO-0020,2,P2,3102,M4|M5|M6,FLEX-WO-0020-OP-01,mapped
FLEX-WO-0020-OP-03,FLEX-WO-0020,3,P4,3102,M9|M10|M11|M12|M13,FLEX-WO-0020-OP-02,mapped
FLEX-WO-0021-OP-01,FLEX-WO-0021,1,P1,3646,M1|M2|M3,,mapped
FLEX-WO-0021-OP-02,FLEX-WO-0021,2,P2,3646,M4|M5|M6,FLEX-WO-0021-OP-01,mapped
FLEX-WO-0021-OP-03,FLEX-WO-0021,3,P3,3646,M7|M8,FLEX-WO-0021-OP-02,mapped
FLEX-WO-0021-OP-04,FLEX-WO-0021,4,P4,3646,M9|M10|M11|M12|M13,FLEX-WO-0021-OP-03,mapped
FLEX-WO-0022-OP-01,FLEX-WO-0022,1,P1,1428,M1|M2|M3,,mapped
FLEX-WO-0022-OP-02,FLEX-WO-0022,2,P2,1428,M4|M5|M6,FLEX-WO-0022-OP-01,mapped
FLEX-WO-0022-OP-03,FLEX-WO-0022,3,P2b,1428,M4|M5|M6,FLEX-WO-0022-OP-02,mapped
FLEX-WO-0022-OP-04,FLEX-WO-0022,4,P4,1428,M9|M10|M11|M12|M13,FLEX-WO-0022-OP-03,mapped
FLEX-WO-0023-OP-01,FLEX-WO-0023,1,P1,1100,M1|M2|M3,,mapped
FLEX-WO-0023-OP-02,FLEX-WO-0023,2,P2,1100,M4|M5|M6,FLEX-WO-0023-OP-01,mapped
FLEX-WO-0023-OP-03,FLEX-WO-0023,3,P3,1100,M7|M8,FLEX-WO-0023-OP-02,mapped
FLEX-WO-0023-OP-04,FLEX-WO-0023,4,P4,1100,M9|M10|M11|M12|M13,FLEX-WO-0023-OP-03,mapped
FLEX-WO-0024-OP-01,FLEX-WO-0024,1,P1,3120,M1|M2|M3,,mapped
FLEX-WO-0024-OP-02,FLEX-WO-0024,2,P2,3120,M4|M5|M6,FLEX-WO-0024-OP-01,mapped
FLEX-WO-0024-OP-03,FLEX-WO-0024,3,P4,3120,M9|M10|M11|M12|M13,FLEX-WO-0024-OP-02,mapped
FLEX-WO-0025-OP-01,FLEX-WO-0025,1,P1,2841,M1|M2|M3,,mapped
FLEX-WO-0025-OP-02,FLEX-WO-0025,2,P2,2841,M4|M5|M6,FLEX-WO-0025-OP-01,mapped
FLEX-WO-0025-OP-03,FLEX-WO-0025,3,P3,2841,M7|M8,FLEX-WO-0025-OP-02,mapped
FLEX-WO-0025-OP-04,FLEX-WO-0025,4,P4,2841,M9|M10|M11|M12|M13,FLEX-WO-0025-OP-03,mapped
FLEX-WO-0026-OP-01,FLEX-WO-0026,1,P1,2638,M1|M2|M3,,mapped
FLEX-WO-0026-OP-02,FLEX-WO-0026,2,P2,2638,M4|M5|M6,FLEX-WO-0026-OP-01,mapped
FLEX-WO-0026-OP-03,FLEX-WO-0026,3,P3,2638,M7|M8,FLEX-WO-0026-OP-02,mapped
FLEX-WO-0026-OP-04,FLEX-WO-0026,4,P4,2638,M9|M10|M11|M12|M13,FLEX-WO-0026-OP-03,mapped
FLEX-WO-0026-OP-05,FLEX-WO-0026,5,P5,2638,M14|M15,FLEX-WO-0026-OP-04,mapped
FLEX-WO-0027-OP-01,FLEX-WO-0027,1,P1,1733,M1|M2|M3,,mapped
FLEX-WO-0027-OP-02,FLEX-WO-0027,2,P2,1733,M4|M5|M6,FLEX-WO-0027-OP-01,mapped
FLEX-WO-0027-OP-03,FLEX-WO-0027,3,P2b,1733,M4|M5|M6,FLEX-WO-0027-OP-02,mapped
FLEX-WO-0027-OP-04,FLEX-WO-0027,4,P4,1733,M9|M10|M11|M12|M13,FLEX-WO-0027-OP-03,mapped
FLEX-WO-0028-OP-01,FLEX-WO-0028,1,P1,1316,M1|M2|M3,,mapped
FLEX-WO-0028-OP-02,FLEX-WO-0028,2,P2,1316,M4|M5|M6,FLEX-WO-0028-OP-01,mapped
FLEX-WO-0028-OP-03,FLEX-WO-0028,3,P2b,1316,M4|M5|M6,FLEX-WO-0028-OP-02,mapped
FLEX-WO-0028-OP-04,FLEX-WO-0028,4,P5,1316,M14|M15,FLEX-WO-0028-OP-03,mapped
FLEX-WO-0029-OP-01,FLEX-WO-0029,1,P1,4045,M1|M2|M3,,mapped
FLEX-WO-0029-OP-02,FLEX-WO-0029,2,P2,4045,M4|M5|M6,FLEX-WO-0029-OP-01,mapped
FLEX-WO-0029-OP-03,FLEX-WO-0029,3,P3,4045,M7|M8,FLEX-WO-0029-OP-02,mapped
FLEX-WO-0029-OP-04,FLEX-WO-0029,4,P4,4045,M9|M10|M11|M12|M13,FLEX-WO-0029-OP-03,mapped
FLEX-WO-0029-OP-05,FLEX-WO-0029,5,P5,4045,M14|M15,FLEX-WO-0029-OP-04,mapped
FLEX-WO-0030-OP-01,FLEX-WO-0030,1,P1,520,M1|M2|M3,,mapped
FLEX-WO-0030-OP-02,FLEX-WO-0030,2,P2,520,M4|M5|M6,FLEX-WO-0030-OP-01,mapped
FLEX-WO-0030-OP-03,FLEX-WO-0030,3,P4,520,M9|M10|M11|M12|M13,FLEX-WO-0030-OP-02,mapped
FLEX-WO-0031-OP-01,FLEX-WO-0031,1,P1,337,M1|M2|M3,,mapped
FLEX-WO-0031-OP-02,FLEX-WO-0031,2,P2,337,M4|M5|M6,FLEX-WO-0031-OP-01,mapped
FLEX-WO-0031-OP-03,FLEX-WO-0031,3,P4,337,M9|M10|M11|M12|M13,FLEX-WO-0031-OP-02,mapped
FLEX-WO-0032-OP-01,FLEX-WO-0032,1,P1,1331,M1|M2|M3,,mapped
FLEX-WO-0032-OP-02,FLEX-WO-0032,2,P2,1331,M4|M5|M6,FLEX-WO-0032-OP-01,mapped
FLEX-WO-0032-OP-03,FLEX-WO-0032,3,P2b,1331,M4|M5|M6,FLEX-WO-0032-OP-02,mapped
FLEX-WO-0032-OP-04,FLEX-WO-0032,4,P4,1331,M9|M10|M11|M12|M13,FLEX-WO-0032-OP-03,mapped
FLEX-WO-0033-OP-01,FLEX-WO-0033,1,P1,1325,M1|M2|M3,,mapped
FLEX-WO-0033-OP-02,FLEX-WO-0033,2,P2,1325,M4|M5|M6,FLEX-WO-0033-OP-01,mapped
FLEX-WO-0033-OP-03,FLEX-WO-0033,3,P3,1325,M7|M8,FLEX-WO-0033-OP-02,mapped
FLEX-WO-0033-OP-04,FLEX-WO-0033,4,P4,1325,M9|M10|M11|M12|M13,FLEX-WO-0033-OP-03,mapped
FLEX-WO-0034-OP-01,FLEX-WO-0034,1,P1,2808,M1|M2|M3,,mapped
FLEX-WO-0034-OP-02,FLEX-WO-0034,2,P2,2808,M4|M5|M6,FLEX-WO-0034-OP-01,mapped
FLEX-WO-0034-OP-03,FLEX-WO-0034,3,P3,2808,M7|M8,FLEX-WO-0034-OP-02,mapped
FLEX-WO-0034-OP-04,FLEX-WO-0034,4,P4,2808,M9|M10|M11|M12|M13,FLEX-WO-0034-OP-03,mapped
FLEX-WO-0035-OP-01,FLEX-WO-0035,1,P1,3512,M1|M2|M3,,mapped
FLEX-WO-0035-OP-02,FLEX-WO-0035,2,P2,3512,M4|M5|M6,FLEX-WO-0035-OP-01,mapped
FLEX-WO-0035-OP-03,FLEX-WO-0035,3,P3,3512,M7|M8,FLEX-WO-0035-OP-02,mapped
FLEX-WO-0035-OP-04,FLEX-WO-0035,4,P4,3512,M9|M10|M11|M12|M13,FLEX-WO-0035-OP-03,mapped
FLEX-WO-0036-OP-01,FLEX-WO-0036,1,P1,206,M1|M2|M3,,mapped
FLEX-WO-0036-OP-02,FLEX-WO-0036,2,P2,206,M4|M5|M6,FLEX-WO-0036-OP-01,mapped
FLEX-WO-0036-OP-03,FLEX-WO-0036,3,P3,206,M7|M8,FLEX-WO-0036-OP-02,mapped
FLEX-WO-0036-OP-04,FLEX-WO-0036,4,P5,206,M14|M15,FLEX-WO-0036-OP-03,mapped
FLEX-WO-0037-OP-01,FLEX-WO-0037,1,P1,706,M1|M2|M3,,mapped
FLEX-WO-0037-OP-02,FLEX-WO-0037,2,P2,706,M4|M5|M6,FLEX-WO-0037-OP-01,mapped
FLEX-WO-0037-OP-03,FLEX-WO-0037,3,P3,706,M7|M8,FLEX-WO-0037-OP-02,mapped
FLEX-WO-0037-OP-04,FLEX-WO-0037,4,P4,706,M9|M10|M11|M12|M13,FLEX-WO-0037-OP-03,mapped
FLEX-WO-0038-OP-01,FLEX-WO-0038,1,P1,4629,M1|M2|M3,,mapped
FLEX-WO-0038-OP-02,FLEX-WO-0038,2,P2,4629,M4|M5|M6,FLEX-WO-0038-OP-01,mapped
FLEX-WO-0038-OP-03,FLEX-WO-0038,3,P3,4629,M7|M8,FLEX-WO-0038-OP-02,mapped
FLEX-WO-0038-OP-04,FLEX-WO-0038,4,P4,4629,M9|M10|M11|M12|M13,FLEX-WO-0038-OP-03,mapped
FLEX-WO-0039-OP-01,FLEX-WO-0039,1,P1,2111,M1|M2|M3,,mapped
FLEX-WO-0039-OP-02,FLEX-WO-0039,2,P2,2111,M4|M5|M6,FLEX-WO-0039-OP-01,mapped
FLEX-WO-0039-OP-03,FLEX-WO-0039,3,P2b,2111,M4|M5|M6,FLEX-WO-0039-OP-02,mapped
FLEX-WO-0039-OP-04,FLEX-WO-0039,4,P5,2111,M14|M15,FLEX-WO-0039-OP-03,mapped
FLEX-WO-0040-OP-01,FLEX-WO-0040,1,P1,3226,M1|M2|M3,,mapped
FLEX-WO-0040-OP-02,FLEX-WO-0040,2,P2,3226,M4|M5|M6,FLEX-WO-0040-OP-01,mapped
FLEX-WO-0040-OP-03,FLEX-WO-0040,3,P3,3226,M7|M8,FLEX-WO-0040-OP-02,mapped
FLEX-WO-0040-OP-04,FLEX-WO-0040,4,P4,3226,M9|M10|M11|M12|M13,FLEX-WO-0040-OP-03,mapped
FLEX-WO-0041-OP-01,FLEX-WO-0041,1,P1,3865,M1|M2|M3,,mapped
FLEX-WO-0041-OP-02,FLEX-WO-0041,2,P2,3865,M4|M5|M6,FLEX-WO-0041-OP-01,mapped
FLEX-WO-0041-OP-03,FLEX-WO-0041,3,P3,3865,M7|M8,FLEX-WO-0041-OP-02,mapped
FLEX-WO-0041-OP-04,FLEX-WO-0041,4,P4,3865,M9|M10|M11|M12|M13,FLEX-WO-0041-OP-03,mapped
FLEX-WO-0042-OP-01,FLEX-WO-0042,1,P1,211,M1|M2|M3,,mapped
FLEX-WO-0042-OP-02,FLEX-WO-0042,2,P2,211,M4|M5|M6,FLEX-WO-0042-OP-01,mapped
FLEX-WO-0042-OP-03,FLEX-WO-0042,3,P3,211,M7|M8,FLEX-WO-0042-OP-02,mapped
FLEX-WO-0042-OP-04,FLEX-WO-0042,4,P4,211,M9|M10|M11|M12|M13,FLEX-WO-0042-OP-03,mapped
FLEX-WO-0043-OP-01,FLEX-WO-0043,1,P1,1584,M1|M2|M3,,mapped
FLEX-WO-0043-OP-02,FLEX-WO-0043,2,P2,1584,M4|M5|M6,FLEX-WO-0043-OP-01,mapped
FLEX-WO-0043-OP-03,FLEX-WO-0043,3,P3,1584,M7|M8,FLEX-WO-0043-OP-02,mapped
FLEX-WO-0043-OP-04,FLEX-WO-0043,4,P4,1584,M9|M10|M11|M12|M13,FLEX-WO-0043-OP-03,mapped
FLEX-WO-0043-OP-05,FLEX-WO-0043,5,P5,1584,M14|M15,FLEX-WO-0043-OP-04,mapped
FLEX-WO-0044-OP-01,FLEX-WO-0044,1,P1,4265,M1|M2|M3,,mapped
FLEX-WO-0044-OP-02,FLEX-WO-0044,2,P2,4265,M4|M5|M6,FLEX-WO-0044-OP-01,mapped
FLEX-WO-0044-OP-03,FLEX-WO-0044,3,P3,4265,M7|M8,FLEX-WO-0044-OP-02,mapped
FLEX-WO-0044-OP-04,FLEX-WO-0044,4,P4,4265,M9|M10|M11|M12|M13,FLEX-WO-0044-OP-03,mapped
FLEX-WO-0045-OP-01,FLEX-WO-0045,1,P1,393,M1|M2|M3,,mapped
FLEX-WO-0045-OP-02,FLEX-WO-0045,2,P2,393,M4|M5|M6,FLEX-WO-0045-OP-01,mapped
FLEX-WO-0045-OP-03,FLEX-WO-0045,3,P3,393,M7|M8,FLEX-WO-0045-OP-02,mapped
FLEX-WO-0045-OP-04,FLEX-WO-0045,4,P4,393,M9|M10|M11|M12|M13,FLEX-WO-0045-OP-03,mapped
FLEX-WO-0046-OP-01,FLEX-WO-0046,1,P1,2641,M1|M2|M3,,mapped
FLEX-WO-0046-OP-02,FLEX-WO-0046,2,P2,2641,M4|M5|M6,FLEX-WO-0046-OP-01,mapped
FLEX-WO-0046-OP-03,FLEX-WO-0046,3,P3,2641,M7|M8,FLEX-WO-0046-OP-02,mapped
FLEX-WO-0046-OP-04,FLEX-WO-0046,4,P5,2641,M14|M15,FLEX-WO-0046-OP-03,mapped
FLEX-WO-0047-OP-01,FLEX-WO-0047,1,P1,504,M1|M2|M3,,mapped
FLEX-WO-0047-OP-02,FLEX-WO-0047,2,P2,504,M4|M5|M6,FLEX-WO-0047-OP-01,mapped
FLEX-WO-0047-OP-03,FLEX-WO-0047,3,P3,504,M7|M8,FLEX-WO-0047-OP-02,mapped
FLEX-WO-0047-OP-04,FLEX-WO-0047,4,P4,504,M9|M10|M11|M12|M13,FLEX-WO-0047-OP-03,mapped
FLEX-WO-0047-OP-05,FLEX-WO-0047,5,P5,504,M14|M15,FLEX-WO-0047-OP-04,mapped
FLEX-WO-0048-OP-01,FLEX-WO-0048,1,P1,3715,M1|M2|M3,,mapped
FLEX-WO-0048-OP-02,FLEX-WO-0048,2,P2,3715,M4|M5|M6,FLEX-WO-0048-OP-01,mapped
FLEX-WO-0048-OP-03,FLEX-WO-0048,3,P3,3715,M7|M8,FLEX-WO-0048-OP-02,mapped
FLEX-WO-0048-OP-04,FLEX-WO-0048,4,P5,3715,M14|M15,FLEX-WO-0048-OP-03,mapped
FLEX-WO-0049-OP-01,FLEX-WO-0049,1,P1,4701,M1|M2|M3,,mapped
FLEX-WO-0049-OP-02,FLEX-WO-0049,2,P2,4701,M4|M5|M6,FLEX-WO-0049-OP-01,mapped
FLEX-WO-0049-OP-03,FLEX-WO-0049,3,P3,4701,M7|M8,FLEX-WO-0049-OP-02,mapped
FLEX-WO-0049-OP-04,FLEX-WO-0049,4,P4,4701,M9|M10|M11|M12|M13,FLEX-WO-0049-OP-03,mapped
FLEX-WO-0050-OP-01,FLEX-WO-0050,1,P1,480,M1|M2|M3,,mapped
FLEX-WO-0050-OP-02,FLEX-WO-0050,2,P2,480,M4|M5|M6,FLEX-WO-0050-OP-01,mapped
FLEX-WO-0050-OP-03,FLEX-WO-0050,3,P2b,480,M4|M5|M6,FLEX-WO-0050-OP-02,mapped
FLEX-WO-0050-OP-04,FLEX-WO-0050,4,P5,480,M14|M15,FLEX-WO-0050-OP-03,mapped
FLEX-WO-0051-OP-01,FLEX-WO-0051,1,P1,4803,M1|M2|M3,,mapped
FLEX-WO-0051-OP-02,FLEX-WO-0051,2,P2,4803,M4|M5|M6,FLEX-WO-0051-OP-01,mapped
FLEX-WO-0051-OP-03,FLEX-WO-0051,3,P3,4803,M7|M8,FLEX-WO-0051-OP-02,mapped
FLEX-WO-0051-OP-04,FLEX-WO-0051,4,P4,4803,M9|M10|M11|M12|M13,FLEX-WO-0051-OP-03,mapped
FLEX-WO-0052-OP-01,FLEX-WO-0052,1,P1,4617,M1|M2|M3,,mapped
FLEX-WO-0052-OP-02,FLEX-WO-0052,2,P2,4617,M4|M5|M6,FLEX-WO-0052-OP-01,mapped
FLEX-WO-0052-OP-03,FLEX-WO-0052,3,P3,4617,M7|M8,FLEX-WO-0052-OP-02,mapped
FLEX-WO-0052-OP-04,FLEX-WO-0052,4,P4,4617,M9|M10|M11|M12|M13,FLEX-WO-0052-OP-03,mapped
FLEX-WO-0053-OP-01,FLEX-WO-0053,1,P1,729,M1|M2|M3,,mapped
FLEX-WO-0053-OP-02,FLEX-WO-0053,2,P2,729,M4|M5|M6,FLEX-WO-0053-OP-01,mapped
FLEX-WO-0053-OP-03,FLEX-WO-0053,3,P4,729,M9|M10|M11|M12|M13,FLEX-WO-0053-OP-02,mapped
FLEX-WO-0054-OP-01,FLEX-WO-0054,1,P1,1320,M1|M2|M3,,mapped
FLEX-WO-0054-OP-02,FLEX-WO-0054,2,P2,1320,M4|M5|M6,FLEX-WO-0054-OP-01,mapped
FLEX-WO-0054-OP-03,FLEX-WO-0054,3,P3,1320,M7|M8,FLEX-WO-0054-OP-02,mapped
FLEX-WO-0054-OP-04,FLEX-WO-0054,4,P4,1320,M9|M10|M11|M12|M13,FLEX-WO-0054-OP-03,mapped
FLEX-WO-0055-OP-01,FLEX-WO-0055,1,P1,978,M1|M2|M3,,mapped
FLEX-WO-0055-OP-02,FLEX-WO-0055,2,P2,978,M4|M5|M6,FLEX-WO-0055-OP-01,mapped
FLEX-WO-0055-OP-03,FLEX-WO-0055,3,P3,978,M7|M8,FLEX-WO-0055-OP-02,mapped
FLEX-WO-0055-OP-04,FLEX-WO-0055,4,P5,978,M14|M15,FLEX-WO-0055-OP-03,mapped
FLEX-WO-0056-OP-01,FLEX-WO-0056,1,P1,72,M1|M2|M3,,mapped
FLEX-WO-0056-OP-02,FLEX-WO-0056,2,P2,72,M4|M5|M6,FLEX-WO-0056-OP-01,mapped
FLEX-WO-0056-OP-03,FLEX-WO-0056,3,P3,72,M7|M8,FLEX-WO-0056-OP-02,mapped
FLEX-WO-0056-OP-04,FLEX-WO-0056,4,P4,72,M9|M10|M11|M12|M13,FLEX-WO-0056-OP-03,mapped
FLEX-WO-0056-OP-05,FLEX-WO-0056,5,P5,72,M14|M15,FLEX-WO-0056-OP-04,mapped
FLEX-WO-0057-OP-01,FLEX-WO-0057,1,P1,811,M1|M2|M3,,mapped
FLEX-WO-0057-OP-02,FLEX-WO-0057,2,P2,811,M4|M5|M6,FLEX-WO-0057-OP-01,mapped
FLEX-WO-0057-OP-03,FLEX-WO-0057,3,P3,811,M7|M8,FLEX-WO-0057-OP-02,mapped
FLEX-WO-0057-OP-04,FLEX-WO-0057,4,P4,811,M9|M10|M11|M12|M13,FLEX-WO-0057-OP-03,mapped
FLEX-WO-0057-OP-05,FLEX-WO-0057,5,P5,811,M14|M15,FLEX-WO-0057-OP-04,mapped
FLEX-WO-0058-OP-01,FLEX-WO-0058,1,P1,986,M1|M2|M3,,mapped
