probleminstanceid,machineid,materialidfrom,materialidto,validitydateto,validitydatefrom,setuptime,setupcost
SET3,OPER003,P015,P008,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P015,P009,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P015,P010,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P015,P013,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER003,P015,P014,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET3,OPER003,P015,P015,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P038,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,113
SET3,OPER007,P039,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P041,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P042,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P043,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,169.5
SET3,OPER007,P044,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,169.5
SET3,OPER007,P045,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,169.5
SET3,OPER007,P049,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER007,P038,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,226
SET3,OPER007,P039,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P041,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,169.5
SET3,OPER007,P042,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,169.5
SET3,OPER007,P043,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,169.5
SET3,OPER007,P044,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,169.5
SET3,OPER007,P045,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P049,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P038,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,169.5
SET3,OPER007,P039,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,56.5
SET3,OPER007,P041,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P042,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,56.5
SET3,OPER007,P043,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P044,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P045,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P049,P041,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P038,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P039,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET3,OPER007,P041,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,56.5
SET3,OPER007,P042,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P043,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P044,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P045,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P049,P042,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P038,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P039,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P041,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P042,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P043,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P044,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P045,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P049,P043,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P038,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P039,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P041,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P042,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,226
SET3,OPER007,P043,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P044,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P045,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P049,P044,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P038,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,113
SET3,OPER007,P039,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P041,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P042,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P043,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P044,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P045,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET3,OPER007,P049,P045,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P038,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,113
SET3,OPER007,P039,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P041,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P042,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P043,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P044,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P045,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,113
SET3,OPER007,P049,P049,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET4,OPER004,P002,P002,2019-01-17 00:00:00,2018-02-05 00:00:00,0.49,113
SET4,OPER004,P011,P011,2019-01-17 00:00:00,2018-02-05 00:00:00,0.55,113
SET4,OPER004,P012,P012,2019-01-17 00:00:00,2018-02-05 00:00:00,0.55,226
SET4,OPER004,P016,P016,2019-01-17 00:00:00,2018-02-05 00:00:00,0.49,113
SET4,OPER004,P017,P017,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,113
SET4,OPER004,P018,P018,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,113
SET4,OPER004,P019,P019,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,113
SET4,OPER004,P020,P020,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,113
SET4,OPER004,P021,P021,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,56.5
SET4,OPER008,P059,P059,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,113
SET4,OPER008,P052,P052,2019-01-17 00:00:00,2018-02-05 00:00:00,0.44,226
SET4,OPER008,P053,P053,2019-01-17 00:00:00,2018-02-05 00:00:00,0.44,113
SET4,OPER008,P062,P062,2019-01-17 00:00:00,2018-02-05 00:00:00,0.31,113
SET4,OPER008,P063,P063,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,113
SET4,OPER008,P064,P064,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,113
SET4,OPER008,P065,P065,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,113
SET4,OPER008,P066,P066,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,113
SET4,OPER008,P067,P067,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,56.5
SET4,OPER008,P068,P068,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,221.48
SET4,OPER008,P069,P069,2019-01-17 00:00:00,2018-02-05 00:00:00,0.28,248.60000000000002
SET2,OPER002,P003,P003,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET2,OPER002,P003,P004,2019-01-17 00:00:00,2018-02-05 00:00:00,0.625,282.5
SET2,OPER002,P003,P022,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET2,OPER002,P004,P003,2019-01-17 00:00:00,2018-02-05 00:00:00,0.75,339
SET2,OPER002,P004,P004,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET2,OPER002,P004,P022,2019-01-17 00:00:00,2018-02-05 00:00:00,0.5,226
SET2,OPER002,P022,P003,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET2,OPER002,P022,P004,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,169.5
SET2,OPER002,P022,P022,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,56.5
SET2,OPER006,P030,P030,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,198.88
SET2,OPER006,P038,P030,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,140.12
SET2,OPER006,P039,P030,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,126.56000000000002
SET2,OPER006,P030,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,126.56000000000002
SET2,OPER006,P038,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,126.56000000000002
SET2,OPER006,P039,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,126.56000000000002
SET2,OPER006,P030,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,126.56000000000002
SET2,OPER006,P038,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.25,126.56000000000002
SET2,OPER006,P039,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.125,126.56000000000002
SET5,OPER001,P001,P001,2019-01-17 00:00:00,2018-02-05 00:00:00,0.21,#VALUE!
SET5,OPER001,P005,P005,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,#VALUE!
SET5,OPER001,P006,P006,2019-01-17 00:00:00,2018-02-05 00:00:00,0.41,#VALUE!
SET5,OPER005,P023,P023,2019-01-17 00:00:00,2018-02-05 00:00:00,0.46,#VALUE!
SET5,OPER005,P024,P024,2019-01-17 00:00:00,2018-02-05 00:00:00,0.46,#VALUE!
SET5,OPER005,P025,P025,2019-01-17 00:00:00,2018-02-05 00:00:00,0.33,#VALUE!
SET5,OPER005,P026,P026,2019-01-17 00:00:00,2018-02-05 00:00:00,0.33,#VALUE!
SET5,OPER005,P027,P027,2019-01-17 00:00:00,2018-02-05 00:00:00,0.33,#VALUE!
SET5,OPER005,P029,P029,2019-01-17 00:00:00,2018-02-05 00:00:00,0.33,#VALUE!
SET5,OPER002,P003,P003,2019-01-17 00:00:00,2018-02-05 00:00:00,0.375,#VALUE!
SET5,OPER002,P004,P004,2019-01-17 00:00:00,2018-02-05 00:00:00,0.46,#VALUE!
SET5,OPER002,P022,P022,2019-01-17 00:00:00,2018-02-05 00:00:00,0.29,#VALUE!
SET5,OPER006,P030,P030,2019-01-17 00:00:00,2018-02-05 00:00:00,0.21,#VALUE!
SET5,OPER006,P038,P038,2019-01-17 00:00:00,2018-02-05 00:00:00,0.21,#VALUE!
SET5,OPER006,P039,P039,2019-01-17 00:00:00,2018-02-05 00:00:00,0.21,#VALUE!
SET5,OPER014,P071,P071,2019-01-17 00:00:00,2018-02-05 00:00:00,0.67,63.5
SET5,OPER014,P073,P073,2019-01-17 00:00:00,2018-02-05 00:00:00,0.67,254
SET5,OPER014,P075,P075,2019-01-17 00:00:00,2018-02-05 00:00:00,0.67,254
SET5,OPER014,P076,P076,2019-01-17 00:00:00,2018-02-05 00:00:00,1.11,635
SET5,OPER014,P080,P080,2019-01-17 00:00:00,2018-02-05 00:00:00,0.64,381
SET5,OPER014,P081,P081,2019-01-17 00:00:00,2018-02-05 00:00:00,0.67,254
SET5,OPER014,P082,P082,2019-01-17 00:00:00,2018-02-05 00:00:00,0.67,254
