work_order_id,product_id,quantity,priority,due_time,status,provenance,seed_work_order_id,generation_seed
DT-WO-00016,P-AXLE-A,120,URGENT,2026-07-14T15:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00017,P-AXLE-B,80,HIGH,2026-07-14T16:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00018,P-HOUSING-A,60,NORMAL,2026-07-14T17:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00019,P-AXLE-A,120,URGENT,2026-07-14T18:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00020,P-AXLE-B,80,HIGH,2026-07-14T19:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00021,P-HOUSING-A,60,NORMAL,2026-07-14T20:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00022,P-AXLE-A,120,URGENT,2026-07-14T21:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00023,P-AXLE-B,80,HIGH,2026-07-14T22:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00024,P-HOUSING-A,60,NORMAL,2026-07-14T23:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00025,P-AXLE-A,120,URGENT,2026-07-15T00:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00026,P-AXLE-B,80,HIGH,2026-07-15T01:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00027,P-HOUSING-A,60,NORMAL,2026-07-15T02:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00028,P-AXLE-A,120,URGENT,2026-07-15T03:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00029,P-AXLE-B,80,HIGH,2026-07-15T04:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00030,P-HOUSING-A,60,NORMAL,2026-07-15T05:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00031,P-AXLE-A,120,URGENT,2026-07-15T06:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00032,P-AXLE-B,80,HIGH,2026-07-15T07:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00033,P-HOUSING-A,60,NORMAL,2026-07-15T08:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00034,P-AXLE-A,120,URGENT,2026-07-15T09:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00035,P-AXLE-B,80,HIGH,2026-07-15T10:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00036,P-HOUSING-A,60,NORMAL,2026-07-15T11:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00037,P-AXLE-A,120,URGENT,2026-07-15T12:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00038,P-AXLE-B,80,HIGH,2026-07-15T13:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00039,P-HOUSING-A,60,NORMAL,2026-07-15T14:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00040,P-AXLE-A,120,URGENT,2026-07-15T15:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00041,P-AXLE-B,80,HIGH,2026-07-15T16:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00042,P-HOUSING-A,60,NORMAL,2026-07-15T17:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00043,P-AXLE-A,120,URGENT,2026-07-15T18:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00044,P-AXLE-B,80,HIGH,2026-07-15T19:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00045,P-HOUSING-A,60,NORMAL,2026-07-15T20:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00046,P-AXLE-A,120,URGENT,2026-07-15T21:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00047,P-AXLE-B,80,HIGH,2026-07-15T22:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00048,P-HOUSING-A,60,NORMAL,2026-07-15T23:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00049,P-AXLE-A,120,URGENT,2026-07-16T00:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00050,P-AXLE-B,80,HIGH,2026-07-16T01:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00051,P-HOUSING-A,60,NORMAL,2026-07-16T02:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00052,P-AXLE-A,120,URGENT,2026-07-16T03:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00053,P-AXLE-B,80,HIGH,2026-07-16T04:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00054,P-HOUSING-A,60,NORMAL,2026-07-16T05:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00055,P-AXLE-A,120,URGENT,2026-07-16T06:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00056,P-AXLE-B,80,HIGH,2026-07-16T07:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00057,P-HOUSING-A,60,NORMAL,2026-07-16T08:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00058,P-AXLE-A,120,URGENT,2026-07-16T09:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00059,P-AXLE-B,80,HIGH,2026-07-16T10:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00060,P-HOUSING-A,60,NORMAL,2026-07-16T11:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00061,P-AXLE-A,120,URGENT,2026-07-16T12:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00062,P-AXLE-B,80,HIGH,2026-07-16T13:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00063,P-HOUSING-A,60,NORMAL,2026-07-16T14:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00064,P-AXLE-A,120,URGENT,2026-07-16T15:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00065,P-AXLE-B,80,HIGH,2026-07-16T16:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00066,P-HOUSING-A,60,NORMAL,2026-07-16T17:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00067,P-AXLE-A,120,URGENT,2026-07-16T18:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00068,P-AXLE-B,80,HIGH,2026-07-16T19:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00069,P-HOUSING-A,60,NORMAL,2026-07-16T20:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00070,P-AXLE-A,120,URGENT,2026-07-16T21:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00071,P-AXLE-B,80,HIGH,2026-07-16T22:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00072,P-HOUSING-A,60,NORMAL,2026-07-16T23:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00073,P-AXLE-A,120,URGENT,2026-07-17T00:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00074,P-AXLE-B,80,HIGH,2026-07-17T01:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00075,P-HOUSING-A,60,NORMAL,2026-07-17T02:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00076,P-AXLE-A,120,URGENT,2026-07-17T03:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00077,P-AXLE-B,80,HIGH,2026-07-17T04:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00078,P-HOUSING-A,60,NORMAL,2026-07-17T05:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00079,P-AXLE-A,120,URGENT,2026-07-17T06:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00080,P-AXLE-B,80,HIGH,2026-07-17T07:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00081,P-HOUSING-A,60,NORMAL,2026-07-17T08:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00082,P-AXLE-A,120,URGENT,2026-07-17T09:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00083,P-AXLE-B,80,HIGH,2026-07-17T10:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00084,P-HOUSING-A,60,NORMAL,2026-07-17T11:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00085,P-AXLE-A,120,URGENT,2026-07-17T12:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00086,P-AXLE-B,80,HIGH,2026-07-17T13:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00087,P-HOUSING-A,60,NORMAL,2026-07-17T14:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00088,P-AXLE-A,120,URGENT,2026-07-17T15:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00089,P-AXLE-B,80,HIGH,2026-07-17T16:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00090,P-HOUSING-A,60,NORMAL,2026-07-17T17:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00091,P-AXLE-A,120,URGENT,2026-07-17T18:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00092,P-AXLE-B,80,HIGH,2026-07-17T19:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00093,P-HOUSING-A,60,NORMAL,2026-07-17T20:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00094,P-AXLE-A,120,URGENT,2026-07-17T21:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00095,P-AXLE-B,80,HIGH,2026-07-17T22:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00096,P-HOUSING-A,60,NORMAL,2026-07-17T23:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00097,P-AXLE-A,120,URGENT,2026-07-18T00:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00098,P-AXLE-B,80,HIGH,2026-07-18T01:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00099,P-HOUSING-A,60,NORMAL,2026-07-18T02:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00100,P-AXLE-A,120,URGENT,2026-07-18T03:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00101,P-AXLE-B,80,HIGH,2026-07-18T04:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00102,P-HOUSING-A,60,NORMAL,2026-07-18T05:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00103,P-AXLE-A,120,URGENT,2026-07-18T06:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00104,P-AXLE-B,80,HIGH,2026-07-18T07:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00105,P-HOUSING-A,60,NORMAL,2026-07-18T08:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00106,P-AXLE-A,120,URGENT,2026-07-18T09:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00107,P-AXLE-B,80,HIGH,2026-07-18T10:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00108,P-HOUSING-A,60,NORMAL,2026-07-18T11:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00109,P-AXLE-A,120,URGENT,2026-07-18T12:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00110,P-AXLE-B,80,HIGH,2026-07-18T13:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00111,P-HOUSING-A,60,NORMAL,2026-07-18T14:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00112,P-AXLE-A,120,URGENT,2026-07-18T15:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00113,P-AXLE-B,80,HIGH,2026-07-18T16:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00114,P-HOUSING-A,60,NORMAL,2026-07-18T17:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00115,P-AXLE-A,120,URGENT,2026-07-18T18:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00116,P-AXLE-B,80,HIGH,2026-07-18T19:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00117,P-HOUSING-A,60,NORMAL,2026-07-18T20:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00118,P-AXLE-A,120,URGENT,2026-07-18T21:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00119,P-AXLE-B,80,HIGH,2026-07-18T22:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00120,P-HOUSING-A,60,NORMAL,2026-07-18T23:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00121,P-AXLE-A,120,URGENT,2026-07-19T00:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00122,P-AXLE-B,80,HIGH,2026-07-19T01:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00123,P-HOUSING-A,60,NORMAL,2026-07-19T02:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00124,P-AXLE-A,120,URGENT,2026-07-19T03:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00125,P-AXLE-B,80,HIGH,2026-07-19T04:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00126,P-HOUSING-A,60,NORMAL,2026-07-19T05:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00127,P-AXLE-A,120,URGENT,2026-07-19T06:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00128,P-AXLE-B,80,HIGH,2026-07-19T07:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00129,P-HOUSING-A,60,NORMAL,2026-07-19T08:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00130,P-AXLE-A,120,URGENT,2026-07-19T09:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00131,P-AXLE-B,80,HIGH,2026-07-19T10:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00132,P-HOUSING-A,60,NORMAL,2026-07-19T11:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00133,P-AXLE-A,120,URGENT,2026-07-19T12:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00134,P-AXLE-B,80,HIGH,2026-07-19T13:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00135,P-HOUSING-A,60,NORMAL,2026-07-19T14:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00136,P-AXLE-A,120,URGENT,2026-07-19T15:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00137,P-AXLE-B,80,HIGH,2026-07-19T16:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00138,P-HOUSING-A,60,NORMAL,2026-07-19T17:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00139,P-AXLE-A,120,URGENT,2026-07-19T18:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00140,P-AXLE-B,80,HIGH,2026-07-19T19:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00141,P-HOUSING-A,60,NORMAL,2026-07-19T20:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00142,P-AXLE-A,120,URGENT,2026-07-19T21:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00143,P-AXLE-B,80,HIGH,2026-07-19T22:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00144,P-HOUSING-A,60,NORMAL,2026-07-19T23:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00145,P-AXLE-A,120,URGENT,2026-07-20T00:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00146,P-AXLE-B,80,HIGH,2026-07-20T01:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00147,P-HOUSING-A,60,NORMAL,2026-07-20T02:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00148,P-AXLE-A,120,URGENT,2026-07-20T03:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00149,P-AXLE-B,80,HIGH,2026-07-20T04:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00150,P-HOUSING-A,60,NORMAL,2026-07-20T05:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00151,P-AXLE-A,120,URGENT,2026-07-20T06:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00152,P-AXLE-B,80,HIGH,2026-07-20T07:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00153,P-HOUSING-A,60,NORMAL,2026-07-20T08:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00154,P-AXLE-A,120,URGENT,2026-07-20T09:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00155,P-AXLE-B,80,HIGH,2026-07-20T10:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00156,P-HOUSING-A,60,NORMAL,2026-07-20T11:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00157,P-AXLE-A,120,URGENT,2026-07-20T12:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00158,P-AXLE-B,80,HIGH,2026-07-20T13:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00159,P-HOUSING-A,60,NORMAL,2026-07-20T14:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00160,P-AXLE-A,120,URGENT,2026-07-20T15:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00161,P-AXLE-B,80,HIGH,2026-07-20T16:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00162,P-HOUSING-A,60,NORMAL,2026-07-20T17:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00163,P-AXLE-A,120,URGENT,2026-07-20T18:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00164,P-AXLE-B,80,HIGH,2026-07-20T19:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00165,P-HOUSING-A,60,NORMAL,2026-07-20T20:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00166,P-AXLE-A,120,URGENT,2026-07-20T21:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00167,P-AXLE-B,80,HIGH,2026-07-20T22:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00168,P-HOUSING-A,60,NORMAL,2026-07-20T23:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00169,P-AXLE-A,120,URGENT,2026-07-14T00:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00170,P-AXLE-B,80,HIGH,2026-07-14T01:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00171,P-HOUSING-A,60,NORMAL,2026-07-14T02:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00172,P-AXLE-A,120,URGENT,2026-07-14T03:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00173,P-AXLE-B,80,HIGH,2026-07-14T04:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00174,P-HOUSING-A,60,NORMAL,2026-07-14T05:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00175,P-AXLE-A,120,URGENT,2026-07-14T06:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00176,P-AXLE-B,80,HIGH,2026-07-14T07:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00177,P-HOUSING-A,60,NORMAL,2026-07-14T08:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00178,P-AXLE-A,120,URGENT,2026-07-14T09:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
DT-WO-00179,P-AXLE-B,80,HIGH,2026-07-14T10:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-002,20260713
DT-WO-00180,P-HOUSING-A,60,NORMAL,2026-07-14T11:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-003,20260713
DT-WO-00181,P-AXLE-A,120,URGENT,2026-07-14T12:00:00+00:00,planned,synthetic_digital_twin_from_p0_sample,WO-P0-001,20260713
