incident_id,incident_type,machine_id,start_time,duration_min,severity,provenance,seed_incident_id,generation_seed
DT-INCIDENT-0057,machine_down,M-03,2026-07-14T10:32:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0058,machine_down,M-06,2026-07-14T11:09:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0059,machine_down,M-03,2026-07-14T11:46:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0060,machine_down,M-06,2026-07-14T12:23:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0061,machine_down,M-03,2026-07-14T13:00:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0062,machine_down,M-06,2026-07-14T13:37:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0063,machine_down,M-03,2026-07-14T14:14:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0064,machine_down,M-06,2026-07-14T14:51:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0065,machine_down,M-03,2026-07-14T15:28:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0066,machine_down,M-06,2026-07-14T16:05:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0067,machine_down,M-03,2026-07-14T16:42:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0068,machine_down,M-06,2026-07-14T17:19:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0069,machine_down,M-03,2026-07-14T17:56:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0070,machine_down,M-06,2026-07-14T18:33:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0071,machine_down,M-03,2026-07-14T19:10:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0072,machine_down,M-06,2026-07-14T19:47:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0073,machine_down,M-03,2026-07-14T20:24:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0074,machine_down,M-06,2026-07-14T21:01:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0075,machine_down,M-03,2026-07-14T21:38:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0076,machine_down,M-06,2026-07-14T22:15:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0077,machine_down,M-03,2026-07-14T22:52:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0078,machine_down,M-06,2026-07-14T23:29:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0079,machine_down,M-03,2026-07-15T00:06:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0080,machine_down,M-06,2026-07-15T00:43:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0081,machine_down,M-03,2026-07-15T01:20:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0082,machine_down,M-06,2026-07-15T01:57:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0083,machine_down,M-03,2026-07-15T02:34:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0084,machine_down,M-06,2026-07-15T03:11:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0085,machine_down,M-03,2026-07-15T03:48:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0086,machine_down,M-06,2026-07-15T04:25:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0087,machine_down,M-03,2026-07-15T05:02:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0088,machine_down,M-06,2026-07-15T05:39:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0089,machine_down,M-03,2026-07-15T06:16:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0090,machine_down,M-06,2026-07-15T06:53:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0091,machine_down,M-03,2026-07-15T07:30:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0092,machine_down,M-06,2026-07-15T08:07:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0093,machine_down,M-03,2026-07-15T08:44:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0094,machine_down,M-06,2026-07-15T09:21:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0095,machine_down,M-03,2026-07-15T09:58:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0096,machine_down,M-06,2026-07-15T10:35:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0097,machine_down,M-03,2026-07-15T11:12:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0098,machine_down,M-06,2026-07-15T11:49:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0099,machine_down,M-03,2026-07-15T12:26:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0100,machine_down,M-06,2026-07-15T13:03:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0101,machine_down,M-03,2026-07-15T13:40:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0102,machine_down,M-06,2026-07-15T14:17:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0103,machine_down,M-03,2026-07-15T14:54:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0104,machine_down,M-06,2026-07-15T15:31:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0105,machine_down,M-03,2026-07-15T16:08:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0106,machine_down,M-06,2026-07-15T16:45:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0107,machine_down,M-03,2026-07-15T17:22:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0108,machine_down,M-06,2026-07-15T17:59:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0109,machine_down,M-03,2026-07-15T18:36:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0110,machine_down,M-06,2026-07-15T19:13:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0111,machine_down,M-03,2026-07-15T19:50:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0112,machine_down,M-06,2026-07-15T20:27:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0113,machine_down,M-03,2026-07-15T21:04:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0114,machine_down,M-06,2026-07-15T21:41:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0115,machine_down,M-03,2026-07-15T22:18:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0116,machine_down,M-06,2026-07-15T22:55:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0117,machine_down,M-03,2026-07-15T23:32:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0118,machine_down,M-06,2026-07-16T00:09:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0119,machine_down,M-03,2026-07-16T00:46:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0120,machine_down,M-06,2026-07-16T01:23:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0121,machine_down,M-03,2026-07-16T02:00:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0122,machine_down,M-06,2026-07-16T02:37:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0123,machine_down,M-03,2026-07-16T03:14:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0124,machine_down,M-06,2026-07-16T03:51:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0125,machine_down,M-03,2026-07-16T04:28:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0126,machine_down,M-06,2026-07-16T05:05:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0127,machine_down,M-03,2026-07-16T05:42:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0128,machine_down,M-06,2026-07-16T06:19:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0129,machine_down,M-03,2026-07-16T06:56:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0130,machine_down,M-06,2026-07-16T07:33:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0131,machine_down,M-03,2026-07-16T08:10:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0132,machine_down,M-06,2026-07-16T08:47:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0133,machine_down,M-03,2026-07-16T09:24:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0134,machine_down,M-06,2026-07-16T10:01:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0135,machine_down,M-03,2026-07-16T10:38:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0136,machine_down,M-06,2026-07-16T11:15:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0137,machine_down,M-03,2026-07-16T11:52:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0138,machine_down,M-06,2026-07-16T12:29:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0139,machine_down,M-03,2026-07-16T13:06:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0140,machine_down,M-06,2026-07-16T13:43:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0141,machine_down,M-03,2026-07-16T14:20:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0142,machine_down,M-06,2026-07-16T14:57:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0143,machine_down,M-03,2026-07-16T15:34:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0144,machine_down,M-06,2026-07-16T16:11:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0145,machine_down,M-03,2026-07-16T16:48:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0146,machine_down,M-06,2026-07-16T17:25:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0147,machine_down,M-03,2026-07-16T18:02:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0148,machine_down,M-06,2026-07-16T18:39:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0149,machine_down,M-03,2026-07-16T19:16:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0150,machine_down,M-06,2026-07-16T19:53:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0151,machine_down,M-03,2026-07-16T20:30:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0152,machine_down,M-06,2026-07-16T21:07:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0153,machine_down,M-03,2026-07-16T21:44:00+00:00,150,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0154,machine_down,M-06,2026-07-16T22:21:00+00:00,165,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0155,machine_down,M-03,2026-07-16T22:58:00+00:00,180,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0156,machine_down,M-06,2026-07-16T23:35:00+00:00,195,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0157,machine_down,M-03,2026-07-17T00:12:00+00:00,30,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0158,machine_down,M-06,2026-07-17T00:49:00+00:00,45,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0159,machine_down,M-03,2026-07-17T01:26:00+00:00,60,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0160,machine_down,M-06,2026-07-17T02:03:00+00:00,75,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0161,machine_down,M-03,2026-07-17T02:40:00+00:00,90,P1,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0162,machine_down,M-06,2026-07-17T03:17:00+00:00,105,P2,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
DT-INCIDENT-0163,machine_down,M-03,2026-07-17T03:54:00+00:00,120,P3,synthetic_digital_twin_from_p0_sample,INC-P0-M03-DOWN,20260713
DT-INCIDENT-0164,machine_down,M-06,2026-07-17T04:31:00+00:00,135,P4,synthetic_digital_twin_from_p0_sample,INC-P0-SYNTHETIC-EXT-02,20260713
