operation_id,work_order_id,sequence,machine_id,processing_time_min,planned_start,planned_end,provenance,seed_operation_id,generation_seed
DT-WO-00002-OP-004,DT-WO-00002,4,M-01,25,2026-07-13T00:30:00+00:00,2026-07-13T00:55:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00002-OP-005,DT-WO-00002,5,M-03,60,2026-07-13T00:33:00+00:00,2026-07-13T01:33:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00002-OP-006,DT-WO-00002,6,M-04,90,2026-07-13T00:36:00+00:00,2026-07-13T02:06:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00002-OP-007,DT-WO-00002,7,M-04,90,2026-07-13T00:39:00+00:00,2026-07-13T02:09:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00003-OP-001,DT-WO-00003,1,M-01,30,2026-07-13T00:42:00+00:00,2026-07-13T01:12:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00003-OP-002,DT-WO-00003,2,M-03,60,2026-07-13T00:45:00+00:00,2026-07-13T01:45:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00003-OP-003,DT-WO-00003,3,M-06,20,2026-07-13T00:48:00+00:00,2026-07-13T01:08:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00003-OP-004,DT-WO-00003,4,M-01,25,2026-07-13T00:51:00+00:00,2026-07-13T01:16:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00003-OP-005,DT-WO-00003,5,M-03,60,2026-07-13T00:54:00+00:00,2026-07-13T01:54:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00003-OP-006,DT-WO-00003,6,M-04,90,2026-07-13T00:57:00+00:00,2026-07-13T02:27:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00003-OP-007,DT-WO-00003,7,M-04,90,2026-07-13T01:00:00+00:00,2026-07-13T02:30:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00004-OP-001,DT-WO-00004,1,M-01,30,2026-07-13T01:03:00+00:00,2026-07-13T01:33:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00004-OP-002,DT-WO-00004,2,M-03,60,2026-07-13T01:06:00+00:00,2026-07-13T02:06:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00004-OP-003,DT-WO-00004,3,M-06,20,2026-07-13T01:09:00+00:00,2026-07-13T01:29:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00004-OP-004,DT-WO-00004,4,M-01,25,2026-07-13T01:12:00+00:00,2026-07-13T01:37:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00004-OP-005,DT-WO-00004,5,M-03,60,2026-07-13T01:15:00+00:00,2026-07-13T02:15:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00004-OP-006,DT-WO-00004,6,M-04,90,2026-07-13T01:18:00+00:00,2026-07-13T02:48:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00004-OP-007,DT-WO-00004,7,M-04,90,2026-07-13T01:21:00+00:00,2026-07-13T02:51:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00005-OP-001,DT-WO-00005,1,M-01,30,2026-07-13T01:24:00+00:00,2026-07-13T01:54:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00005-OP-002,DT-WO-00005,2,M-03,60,2026-07-13T01:27:00+00:00,2026-07-13T02:27:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00005-OP-003,DT-WO-00005,3,M-06,20,2026-07-13T01:30:00+00:00,2026-07-13T01:50:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00005-OP-004,DT-WO-00005,4,M-01,25,2026-07-13T01:33:00+00:00,2026-07-13T01:58:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00005-OP-005,DT-WO-00005,5,M-03,60,2026-07-13T01:36:00+00:00,2026-07-13T02:36:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00005-OP-006,DT-WO-00005,6,M-04,90,2026-07-13T01:39:00+00:00,2026-07-13T03:09:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00005-OP-007,DT-WO-00005,7,M-04,90,2026-07-13T01:42:00+00:00,2026-07-13T03:12:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00006-OP-001,DT-WO-00006,1,M-01,30,2026-07-13T01:45:00+00:00,2026-07-13T02:15:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00006-OP-002,DT-WO-00006,2,M-03,60,2026-07-13T01:48:00+00:00,2026-07-13T02:48:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00006-OP-003,DT-WO-00006,3,M-06,20,2026-07-13T01:51:00+00:00,2026-07-13T02:11:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00006-OP-004,DT-WO-00006,4,M-01,25,2026-07-13T01:54:00+00:00,2026-07-13T02:19:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00006-OP-005,DT-WO-00006,5,M-03,60,2026-07-13T01:57:00+00:00,2026-07-13T02:57:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00006-OP-006,DT-WO-00006,6,M-04,90,2026-07-13T02:00:00+00:00,2026-07-13T03:30:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00006-OP-007,DT-WO-00006,7,M-04,90,2026-07-13T02:03:00+00:00,2026-07-13T03:33:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00007-OP-001,DT-WO-00007,1,M-01,30,2026-07-13T02:06:00+00:00,2026-07-13T02:36:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00007-OP-002,DT-WO-00007,2,M-03,60,2026-07-13T02:09:00+00:00,2026-07-13T03:09:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00007-OP-003,DT-WO-00007,3,M-06,20,2026-07-13T02:12:00+00:00,2026-07-13T02:32:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00007-OP-004,DT-WO-00007,4,M-01,25,2026-07-13T02:15:00+00:00,2026-07-13T02:40:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00007-OP-005,DT-WO-00007,5,M-03,60,2026-07-13T02:18:00+00:00,2026-07-13T03:18:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00007-OP-006,DT-WO-00007,6,M-04,90,2026-07-13T02:21:00+00:00,2026-07-13T03:51:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00007-OP-007,DT-WO-00007,7,M-04,90,2026-07-13T02:24:00+00:00,2026-07-13T03:54:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00008-OP-001,DT-WO-00008,1,M-01,30,2026-07-13T02:27:00+00:00,2026-07-13T02:57:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00008-OP-002,DT-WO-00008,2,M-03,60,2026-07-13T02:30:00+00:00,2026-07-13T03:30:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00008-OP-003,DT-WO-00008,3,M-06,20,2026-07-13T02:33:00+00:00,2026-07-13T02:53:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00008-OP-004,DT-WO-00008,4,M-01,25,2026-07-13T02:36:00+00:00,2026-07-13T03:01:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00008-OP-005,DT-WO-00008,5,M-03,60,2026-07-13T02:39:00+00:00,2026-07-13T03:39:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00008-OP-006,DT-WO-00008,6,M-04,90,2026-07-13T02:42:00+00:00,2026-07-13T04:12:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00008-OP-007,DT-WO-00008,7,M-04,90,2026-07-13T02:45:00+00:00,2026-07-13T04:15:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00009-OP-001,DT-WO-00009,1,M-01,30,2026-07-13T02:48:00+00:00,2026-07-13T03:18:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00009-OP-002,DT-WO-00009,2,M-03,60,2026-07-13T02:51:00+00:00,2026-07-13T03:51:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00009-OP-003,DT-WO-00009,3,M-06,20,2026-07-13T02:54:00+00:00,2026-07-13T03:14:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00009-OP-004,DT-WO-00009,4,M-01,25,2026-07-13T02:57:00+00:00,2026-07-13T03:22:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00009-OP-005,DT-WO-00009,5,M-03,60,2026-07-13T03:00:00+00:00,2026-07-13T04:00:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00009-OP-006,DT-WO-00009,6,M-04,90,2026-07-13T03:03:00+00:00,2026-07-13T04:33:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00009-OP-007,DT-WO-00009,7,M-04,90,2026-07-13T03:06:00+00:00,2026-07-13T04:36:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00010-OP-001,DT-WO-00010,1,M-01,30,2026-07-13T03:09:00+00:00,2026-07-13T03:39:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00010-OP-002,DT-WO-00010,2,M-03,60,2026-07-13T03:12:00+00:00,2026-07-13T04:12:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00010-OP-003,DT-WO-00010,3,M-06,20,2026-07-13T03:15:00+00:00,2026-07-13T03:35:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00010-OP-004,DT-WO-00010,4,M-01,25,2026-07-13T03:18:00+00:00,2026-07-13T03:43:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00010-OP-005,DT-WO-00010,5,M-03,60,2026-07-13T03:21:00+00:00,2026-07-13T04:21:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00010-OP-006,DT-WO-00010,6,M-04,90,2026-07-13T03:24:00+00:00,2026-07-13T04:54:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00010-OP-007,DT-WO-00010,7,M-04,90,2026-07-13T03:27:00+00:00,2026-07-13T04:57:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00011-OP-001,DT-WO-00011,1,M-01,30,2026-07-13T03:30:00+00:00,2026-07-13T04:00:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00011-OP-002,DT-WO-00011,2,M-03,60,2026-07-13T03:33:00+00:00,2026-07-13T04:33:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00011-OP-003,DT-WO-00011,3,M-06,20,2026-07-13T03:36:00+00:00,2026-07-13T03:56:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00011-OP-004,DT-WO-00011,4,M-01,25,2026-07-13T03:39:00+00:00,2026-07-13T04:04:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00011-OP-005,DT-WO-00011,5,M-03,60,2026-07-13T03:42:00+00:00,2026-07-13T04:42:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00011-OP-006,DT-WO-00011,6,M-04,90,2026-07-13T03:45:00+00:00,2026-07-13T05:15:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00011-OP-007,DT-WO-00011,7,M-04,90,2026-07-13T03:48:00+00:00,2026-07-13T05:18:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00012-OP-001,DT-WO-00012,1,M-01,30,2026-07-13T03:51:00+00:00,2026-07-13T04:21:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00012-OP-002,DT-WO-00012,2,M-03,60,2026-07-13T03:54:00+00:00,2026-07-13T04:54:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00012-OP-003,DT-WO-00012,3,M-06,20,2026-07-13T03:57:00+00:00,2026-07-13T04:17:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00012-OP-004,DT-WO-00012,4,M-01,25,2026-07-13T04:00:00+00:00,2026-07-13T04:25:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00012-OP-005,DT-WO-00012,5,M-03,60,2026-07-13T04:03:00+00:00,2026-07-13T05:03:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00012-OP-006,DT-WO-00012,6,M-04,90,2026-07-13T04:06:00+00:00,2026-07-13T05:36:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00012-OP-007,DT-WO-00012,7,M-04,90,2026-07-13T04:09:00+00:00,2026-07-13T05:39:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00013-OP-001,DT-WO-00013,1,M-01,30,2026-07-13T04:12:00+00:00,2026-07-13T04:42:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00013-OP-002,DT-WO-00013,2,M-03,60,2026-07-13T04:15:00+00:00,2026-07-13T05:15:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00013-OP-003,DT-WO-00013,3,M-06,20,2026-07-13T04:18:00+00:00,2026-07-13T04:38:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00013-OP-004,DT-WO-00013,4,M-01,25,2026-07-13T04:21:00+00:00,2026-07-13T04:46:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00013-OP-005,DT-WO-00013,5,M-03,60,2026-07-13T04:24:00+00:00,2026-07-13T05:24:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00013-OP-006,DT-WO-00013,6,M-04,90,2026-07-13T04:27:00+00:00,2026-07-13T05:57:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00013-OP-007,DT-WO-00013,7,M-04,90,2026-07-13T04:30:00+00:00,2026-07-13T06:00:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00014-OP-001,DT-WO-00014,1,M-01,30,2026-07-13T04:33:00+00:00,2026-07-13T05:03:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00014-OP-002,DT-WO-00014,2,M-03,60,2026-07-13T04:36:00+00:00,2026-07-13T05:36:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00014-OP-003,DT-WO-00014,3,M-06,20,2026-07-13T04:39:00+00:00,2026-07-13T04:59:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00014-OP-004,DT-WO-00014,4,M-01,25,2026-07-13T04:42:00+00:00,2026-07-13T05:07:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00014-OP-005,DT-WO-00014,5,M-03,60,2026-07-13T04:45:00+00:00,2026-07-13T05:45:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00014-OP-006,DT-WO-00014,6,M-04,90,2026-07-13T04:48:00+00:00,2026-07-13T06:18:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00014-OP-007,DT-WO-00014,7,M-04,90,2026-07-13T04:51:00+00:00,2026-07-13T06:21:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00015-OP-001,DT-WO-00015,1,M-01,30,2026-07-13T04:54:00+00:00,2026-07-13T05:24:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00015-OP-002,DT-WO-00015,2,M-03,60,2026-07-13T04:57:00+00:00,2026-07-13T05:57:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00015-OP-003,DT-WO-00015,3,M-06,20,2026-07-13T05:00:00+00:00,2026-07-13T05:20:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00015-OP-004,DT-WO-00015,4,M-01,25,2026-07-13T05:03:00+00:00,2026-07-13T05:28:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00015-OP-005,DT-WO-00015,5,M-03,60,2026-07-13T05:06:00+00:00,2026-07-13T06:06:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00015-OP-006,DT-WO-00015,6,M-04,90,2026-07-13T05:09:00+00:00,2026-07-13T06:39:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00015-OP-007,DT-WO-00015,7,M-04,90,2026-07-13T05:12:00+00:00,2026-07-13T06:42:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00016-OP-001,DT-WO-00016,1,M-01,30,2026-07-13T05:15:00+00:00,2026-07-13T05:45:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00016-OP-002,DT-WO-00016,2,M-03,60,2026-07-13T05:18:00+00:00,2026-07-13T06:18:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00016-OP-003,DT-WO-00016,3,M-06,20,2026-07-13T05:21:00+00:00,2026-07-13T05:41:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00016-OP-004,DT-WO-00016,4,M-01,25,2026-07-13T05:24:00+00:00,2026-07-13T05:49:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00016-OP-005,DT-WO-00016,5,M-03,60,2026-07-13T05:27:00+00:00,2026-07-13T06:27:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00016-OP-006,DT-WO-00016,6,M-04,90,2026-07-13T05:30:00+00:00,2026-07-13T07:00:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00016-OP-007,DT-WO-00016,7,M-04,90,2026-07-13T05:33:00+00:00,2026-07-13T07:03:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00017-OP-001,DT-WO-00017,1,M-01,30,2026-07-13T05:36:00+00:00,2026-07-13T06:06:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00017-OP-002,DT-WO-00017,2,M-03,60,2026-07-13T05:39:00+00:00,2026-07-13T06:39:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00017-OP-003,DT-WO-00017,3,M-06,20,2026-07-13T05:42:00+00:00,2026-07-13T06:02:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00017-OP-004,DT-WO-00017,4,M-01,25,2026-07-13T05:45:00+00:00,2026-07-13T06:10:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00017-OP-005,DT-WO-00017,5,M-03,60,2026-07-13T05:48:00+00:00,2026-07-13T06:48:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00017-OP-006,DT-WO-00017,6,M-04,90,2026-07-13T05:51:00+00:00,2026-07-13T07:21:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00017-OP-007,DT-WO-00017,7,M-04,90,2026-07-13T05:54:00+00:00,2026-07-13T07:24:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00018-OP-001,DT-WO-00018,1,M-01,30,2026-07-13T05:57:00+00:00,2026-07-13T06:27:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00018-OP-002,DT-WO-00018,2,M-03,60,2026-07-13T06:00:00+00:00,2026-07-13T07:00:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00018-OP-003,DT-WO-00018,3,M-06,20,2026-07-13T06:03:00+00:00,2026-07-13T06:23:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00018-OP-004,DT-WO-00018,4,M-01,25,2026-07-13T06:06:00+00:00,2026-07-13T06:31:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00018-OP-005,DT-WO-00018,5,M-03,60,2026-07-13T06:09:00+00:00,2026-07-13T07:09:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00018-OP-006,DT-WO-00018,6,M-04,90,2026-07-13T06:12:00+00:00,2026-07-13T07:42:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00018-OP-007,DT-WO-00018,7,M-04,90,2026-07-13T06:15:00+00:00,2026-07-13T07:45:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00019-OP-001,DT-WO-00019,1,M-01,30,2026-07-13T06:18:00+00:00,2026-07-13T06:48:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00019-OP-002,DT-WO-00019,2,M-03,60,2026-07-13T06:21:00+00:00,2026-07-13T07:21:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00019-OP-003,DT-WO-00019,3,M-06,20,2026-07-13T06:24:00+00:00,2026-07-13T06:44:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00019-OP-004,DT-WO-00019,4,M-01,25,2026-07-13T06:27:00+00:00,2026-07-13T06:52:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00019-OP-005,DT-WO-00019,5,M-03,60,2026-07-13T06:30:00+00:00,2026-07-13T07:30:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00019-OP-006,DT-WO-00019,6,M-04,90,2026-07-13T06:33:00+00:00,2026-07-13T08:03:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
DT-WO-00019-OP-007,DT-WO-00019,7,M-04,90,2026-07-13T06:36:00+00:00,2026-07-13T08:06:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-SYNTHETIC-EXT-01,20260713
DT-WO-00020-OP-001,DT-WO-00020,1,M-01,30,2026-07-13T06:39:00+00:00,2026-07-13T07:09:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-10,20260713
DT-WO-00020-OP-002,DT-WO-00020,2,M-03,60,2026-07-13T06:42:00+00:00,2026-07-13T07:42:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-20,20260713
DT-WO-00020-OP-003,DT-WO-00020,3,M-06,20,2026-07-13T06:45:00+00:00,2026-07-13T07:05:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-001-30,20260713
DT-WO-00020-OP-004,DT-WO-00020,4,M-01,25,2026-07-13T06:48:00+00:00,2026-07-13T07:13:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-10,20260713
DT-WO-00020-OP-005,DT-WO-00020,5,M-03,60,2026-07-13T06:51:00+00:00,2026-07-13T07:51:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-002-20,20260713
DT-WO-00020-OP-006,DT-WO-00020,6,M-04,90,2026-07-13T06:54:00+00:00,2026-07-13T08:24:00+00:00,synthetic_digital_twin_from_p0_sample,OP-P0-003-10,20260713
